order_id,customer_id,restaurant_id,order_timestamp,order_amount,discount_amount,delivery_fee,payment_mode,order_status
O000001,C03175,R0115,28-09-2025,1079.36,107.94,39,Cash,Refunded
O000002,C02432,R0077,13-02-2024,1499.63,149.96,42,Card,Delivered
O000003,C01133,R0131,07-03-2024,597.18,59.72,22,Cash,Delivered
O000004,C04813,R0109,27-01-2025,1257.48,125.75,53,Wallet,Delivered
O000005,C04948,R0001,25-10-2024,1010.57,0,28,Wallet,Delivered
O000006,C01825,R0110,05-11-2025,1211.84,121.18,27,UPI,Refunded
O000007,C03728,R0066,22-05-2024,697.48,69.75,56,UPI,Cancelled
O000008,C04022,R0070,13-04-2024,348.11,0,34,UPI,Cancelled
O000009,C01287,R0097,15-02-2026,671.58,0,59,UPI,Delivered
O000010,C03543,R0033,02-12-2025,825.79,0,40,UPI,Delivered
O000011,C01535,R0116,06-05-2025,1043.57,0,30,UPI,Delivered
O000012,C00730,R0137,25-01-2024,741.62,0,34,Cash,Cancelled
O000013,C02991,R0068,27-03-2024,759.12,75.91,55,UPI,Delivered
O000014,C02158,R0144,17-05-2025,533.36,0,47,Card,Cancelled
O000015,C00536,R0078,22-05-2025,411.96,41.2,39,UPI,Refunded
O000016,C03438,R0183,02-11-2025,642.6,0,25,Wallet,Delivered
O000017,C00465,R0169,30-01-2025,523.91,0,53,Cash,Cancelled
O000018,C03813,R0179,09-07-2025,1436.69,0,25,Card,Refunded
O000019,C02596,R0192,21-02-2024,1458.62,145.86,36,UPI,Refunded
O000020,C04391,R0187,14-01-2025,1388.36,0,36,UPI,Delivered
O000021,C01457,R0194,29-03-2026,809.96,0,56,UPI,Delivered
O000022,C01354,R0117,27-07-2024,1122.3,0,59,UPI,Delivered
O000023,C00330,R0159,23-12-2024,1245.68,124.57,29,Wallet,Cancelled
O000024,C03256,R0028,07-12-2025,1385.83,0,47,UPI,Delivered
O000025,C01970,R0181,28-01-2024,1463.95,0,30,Wallet,Delivered
O000026,C03354,R0014,22-04-2026,1371.73,0,34,Card,Refunded
O000027,C03809,R0025,30-11-2024,1399.48,0,57,Card,Refunded
O000028,C01688,R0127,04-09-2025,1039.36,103.94,33,UPI,Delivered
O000029,C04993,R0088,29-04-2025,375.98,0,21,UPI,Delivered
